date,vx_f1,f1_expiration,volume,open_interest
2013-05-20,15.1,2013-06-19,58037,197389
2013-05-21,15.4,2013-06-19,71885,209973
2013-05-22,15.3,2013-06-19,88028,209768
2013-05-23,15.5,2013-06-19,92727,205609
2013-05-24,15.5,2013-06-19,54122,195715
2013-05-28,15.2,2013-06-19,65523,191099
2013-05-29,15.4,2013-06-19,86120,180429
2013-05-30,15.4,2013-06-19,68668,170115
2013-05-31,16.05,2013-06-19,85337,164641
2013-06-03,16.0,2013-06-19,105076,152202
2013-06-04,16.1,2013-06-19,63326,143652
2013-06-05,17.05,2013-06-19,96898,137426
2013-06-06,16.55,2013-06-19,120138,126739
2013-06-07,15.8,2013-06-19,82342,113468
2013-06-10,15.6,2013-06-19,55083,104760
2013-06-11,16.9,2013-06-19,94327,111718
2013-06-12,18.25,2013-06-19,113048,89614
2013-06-13,16.8,2013-06-19,101454,72756
2013-06-14,17.55,2013-06-19,86261,57139
2013-06-17,16.95,2013-06-19,60142,45205
2013-06-18,16.8,2013-06-19,50013,38953
2013-06-19,17.55,2013-07-17,116639,147629
2013-06-20,19.65,2013-07-17,184323,141307
2013-06-21,19.0,2013-07-17,118864,127383
2013-06-24,20.15,2013-07-17,110144,115456
2013-06-25,19.45,2013-07-17,78014,107278
2013-06-26,18.85,2013-07-17,64831,108321
2013-06-27,18.2,2013-07-17,66605,109464
2013-06-28,18.05,2013-07-17,66775,106130
2013-07-01,17.65,2013-07-17,72246,104144
2013-07-02,17.6,2013-07-17,50067,99253
2013-07-03,17.25,2013-07-17,33510,95455
2013-07-05,15.95,2013-07-17,74766,94689
2013-07-08,15.35,2013-07-17,71170,91796
2013-07-09,15.1,2013-07-17,58464,83272
2013-07-10,14.85,2013-07-17,56859,73368
2013-07-11,14.5,2013-07-17,62517,62384
2013-07-12,14.65,2013-07-17,36578,52588
2013-07-15,14.05,2013-07-17,41125,44410
2013-07-16,14.25,2013-07-17,53656,32074
2013-07-17,15.6,2013-08-21,68769,176117
2013-07-18,15.45,2013-08-21,58035,176483
2013-07-19,14.9,2013-08-21,52856,179077
2013-07-22,14.7,2013-08-21,46217,178882
2013-07-23,14.65,2013-08-21,52892,180006
2013-07-24,14.8,2013-08-21,57856,175588
2013-07-25,14.5,2013-08-21,41316,172033
2013-07-26,14.45,2013-08-21,32852,166065
2013-07-29,14.65,2013-08-21,40013,160891
2013-07-30,14.3,2013-08-21,52499,156183
2013-07-31,13.9,2013-08-21,79993,153325
2013-08-01,13.6,2013-08-21,68675,151937
2013-08-02,13.15,2013-08-21,49345,153813
2013-08-05,13.05,2013-08-21,42938,144726
2013-08-06,13.4,2013-08-21,52366,136606
2013-08-07,13.55,2013-08-21,60310,129029
2013-08-08,13.25,2013-08-21,40956,125498
2013-08-09,13.55,2013-08-21,44471,120490
2013-08-12,13.35,2013-08-21,49455,118993
2013-08-13,13.1,2013-08-21,48794,117534
2013-08-14,13.35,2013-08-21,53412,110115
2013-08-15,14.25,2013-08-21,82424,99678
2013-08-16,14.45,2013-08-21,91332,80847
2013-08-19,15.05,2013-08-21,57320,66466
2013-08-20,15.0,2013-08-21,52253,56658
2013-08-21,16.1,2013-09-18,104584,200626
2013-08-22,15.45,2013-09-18,76114,192454
2013-08-23,15.2,2013-09-18,36845,188464
2013-08-26,15.85,2013-09-18,55339,180738
2013-08-27,17.2,2013-09-18,105495,174023
2013-08-28,17.35,2013-09-18,87829,159452
2013-08-29,17.35,2013-09-18,67708,155542
2013-08-30,17.5,2013-09-18,67350,145263
2013-09-03,16.85,2013-09-18,81483,141527
2013-09-04,16.7,2013-09-18,59017,130112
2013-09-05,16.4,2013-09-18,43003,126938
2013-09-06,16.5,2013-09-18,72595,122166
2013-09-09,15.8,2013-09-18,46474,114289
2013-09-10,15.15,2013-09-18,62288,110786
2013-09-11,14.55,2013-09-18,53750,105429
2013-09-12,14.8,2013-09-18,47309,99993
2013-09-13,14.8,2013-09-18,59952,87501
2013-09-16,14.7,2013-09-18,52719,75219
2013-09-17,14.65,2013-09-18,58453,65567
2013-09-18,14.7,2013-10-16,94380,181844
2013-09-19,14.75,2013-10-16,58683,179223
2013-09-20,15.0,2013-10-16,64628,171703
2013-09-23,15.35,2013-10-16,50145,165006
2013-09-24,15.05,2013-10-16,43965,163984
2013-09-25,15.05,2013-10-16,58190,158479
2013-09-26,14.8,2013-10-16,46277,153345
2013-09-27,15.5,2013-10-16,62826,141192
2013-09-30,16.2,2013-10-16,79017,129252
2013-10-01,15.45,2013-10-16,61437,125895
2013-10-02,16.35,2013-10-16,71114,119350
2013-10-03,17.25,2013-10-16,113952,118299
2013-10-04,16.8,2013-10-16,66521,105837
2013-10-07,18.5,2013-10-16,72030,101788
2013-10-08,19.4,2013-10-16,110229,93448
2013-10-09,18.85,2013-10-16,110808,79230
2013-10-10,16.4,2013-10-16,84966,65410
2013-10-11,15.7,2013-10-16,51621,48620
2013-10-14,15.9,2013-10-16,59474,38217
2013-10-15,18.2,2013-10-16,65070,32339
2013-10-16,15.55,2013-11-20,137121,166165
2013-10-17,14.55,2013-11-20,108501,172803
2013-10-18,14.35,2013-11-20,76422,164228
2013-10-21,14.6,2013-11-20,52365,159630
2013-10-22,14.6,2013-11-20,61217,161293
2013-10-23,14.7,2013-11-20,59401,157349
2013-10-24,14.45,2013-11-20,38761,157993
2013-10-25,14.5,2013-11-20,30715,157296
2013-10-28,14.55,2013-11-20,27787,154559
2013-10-29,14.45,2013-11-20,31234,152971
2013-10-30,14.55,2013-11-20,55628,150610
2013-10-31,14.5,2013-11-20,39736,146035
2013-11-01,14.45,2013-11-20,32784,142306
2013-11-04,13.95,2013-11-20,39364,141462
2013-11-05,14.0,2013-11-20,52337,145834
2013-11-06,13.7,2013-11-20,44907,136708
2013-11-07,14.25,2013-11-20,54543,131714
2013-11-08,13.6,2013-11-20,59075,126957
2013-11-11,13.3,2013-11-20,36861,122703
2013-11-12,13.35,2013-11-20,39369,116867
2013-11-13,13.25,2013-11-20,54109,109056
2013-11-14,13.05,2013-11-20,47717,98470
2013-11-15,12.95,2013-11-20,63059,81175
2013-11-18,13.3,2013-11-20,67180,72151
2013-11-19,13.6,2013-11-20,58693,58253
2013-11-20,14.15,2013-12-18,117265,198777
2013-11-21,13.7,2013-12-18,95218,204187
2013-11-22,13.6,2013-12-18,40885,198656
2013-11-25,13.65,2013-12-18,38906,198187
2013-11-26,13.75,2013-12-18,42556,191579
2013-11-27,13.85,2013-12-18,32227,181407
2013-11-29,13.95,2013-12-18,26265,174765
2013-12-02,14.3,2013-12-18,52078,166614
2013-12-03,14.65,2013-12-18,84114,146608
2013-12-04,14.25,2013-12-18,87677,146158
2013-12-05,14.55,2013-12-18,61001,138552
2013-12-06,13.95,2013-12-18,52369,126894
2013-12-09,13.75,2013-12-18,45191,120054
2013-12-10,13.95,2013-12-18,49197,114586
2013-12-11,14.9,2013-12-18,91502,97468
2013-12-12,15.4,2013-12-18,112355,71901
2013-12-13,15.5,2013-12-18,49004,59737
2013-12-16,15.9,2013-12-18,74125,50945
2013-12-17,16.25,2013-12-18,56787,33108
2013-12-18,15.55,2014-02-19,62795,82009
2013-12-19,15.6,2014-02-19,31072,82957
2013-12-20,15.45,2014-02-19,27138,80036
2013-12-23,15.0,2014-02-19,20406,78969
2013-12-24,14.6,2014-02-19,19687,79318
2013-12-26,14.5,2014-02-19,33268,83140
2013-12-27,14.65,2014-02-19,31025,84845
2013-12-30,14.85,2014-02-19,23548,84632
2013-12-31,14.75,2014-02-19,29177,87802
2014-01-02,15.05,2014-02-19,40455,90840
2014-01-03,14.9,2014-02-19,34725,91565
2014-01-06,14.75,2014-02-19,35608,95276
2014-01-07,14.45,2014-02-19,42440,103905
2014-01-08,14.45,2014-02-19,35003,108079
2014-01-09,14.55,2014-02-19,48795,117031
2014-01-10,14.3,2014-02-19,47858,125088
2014-01-13,14.55,2014-02-19,83777,136252
2014-01-14,14.1,2014-02-19,66971,147936
2014-01-15,14.15,2014-02-19,52719,155273
2014-01-16,14.3,2014-02-19,56422,164518
2014-01-17,14.25,2014-02-19,63416,176571
2014-01-21,14.1,2014-02-19,67433,190620
2014-01-22,13.85,2014-02-19,66676,180961
2014-01-23,14.2,2014-02-19,97516,181476
2014-01-24,16.2,2014-02-19,178240,185085
2014-01-27,16.1,2014-02-19,206830,174190
2014-01-28,15.2,2014-02-19,119681,162833
2014-01-29,16.4,2014-02-19,181261,166226
2014-01-30,16.65,2014-02-19,120176,158798
2014-01-31,17.6,2014-02-19,165946,153543
2014-02-03,19.2,2014-02-19,168419,147098
2014-02-04,18.65,2014-02-19,125382,133621
2014-02-05,19.15,2014-02-19,127714,125712
2014-02-06,17.0,2014-02-19,103184,118061
2014-02-07,15.5,2014-02-19,106536,112739
2014-02-10,15.65,2014-02-19,69590,105463
2014-02-11,15.05,2014-02-19,79382,90642
2014-02-12,14.55,2014-02-19,59160,83715
2014-02-13,14.6,2014-02-19,67375,72944
2014-02-14,14.2,2014-02-19,46334,59162
2014-02-18,14.25,2014-02-19,53053,46380
2014-02-19,15.8,2014-04-16,54554,60710
2014-02-20,15.4,2014-04-16,29969,62576
2014-02-21,15.45,2014-04-16,37966,64486
2014-02-24,15.4,2014-04-16,34669,66533
2014-02-25,15.3,2014-04-16,37586,67597
2014-02-26,15.65,2014-04-16,42076,71376
2014-02-27,15.55,2014-04-16,39014,75987
2014-02-28,15.7,2014-04-16,51823,77826
2014-03-03,16.65,2014-04-16,71678,78458
2014-03-04,15.6,2014-04-16,62061,82942
2014-03-05,15.6,2014-04-16,50165,88326
2014-03-06,15.55,2014-04-16,38525,90104
2014-03-07,15.85,2014-04-16,60639,96940
2014-03-10,15.9,2014-04-16,50456,104583
2014-03-11,16.1,2014-04-16,59987,109517
2014-03-12,15.95,2014-04-16,56135,120130
2014-03-13,16.6,2014-04-16,106495,125254
2014-03-14,17.1,2014-04-16,116151,135090
2014-03-17,16.15,2014-04-16,83491,145493
2014-03-18,15.6,2014-04-16,94677,144900
2014-03-19,16.0,2014-04-16,109085,145948
2014-03-20,15.75,2014-04-16,62272,144638
2014-03-21,16.0,2014-04-16,84344,145565
2014-03-24,15.95,2014-04-16,75159,139775
2014-03-25,15.7,2014-04-16,70125,141483
2014-03-26,16.05,2014-04-16,80453,134988
2014-03-27,15.75,2014-04-16,78510,133953
2014-03-28,15.6,2014-04-16,72324,126839
2014-03-31,15.15,2014-04-16,55981,130297
2014-04-01,14.5,2014-04-16,55307,132549
2014-04-02,14.6,2014-04-16,44841,131148
2014-04-03,14.45,2014-04-16,41637,128077
2014-04-04,14.85,2014-04-16,85070,126480
2014-04-07,15.5,2014-04-16,80995,114188
2014-04-08,15.15,2014-04-16,70792,102365
2014-04-09,14.5,2014-04-16,55573,94685
2014-04-10,15.85,2014-04-16,107637,82873
2014-04-11,16.85,2014-04-16,125685,61815
2014-04-14,16.2,2014-04-16,88299,45421
2014-04-15,15.6,2014-04-16,109752,31896
2014-04-16,15.9,2014-05-21,97572,158536
2014-04-17,15.6,2014-05-21,74180,156505
2014-04-21,15.4,2014-05-21,54097,160025
2014-04-22,15.25,2014-05-21,56073,161882
